pylon>
pylon>soh
Battery    Voltage    SOHCount   SOHStatus 
0          3375       0          Normal    
1          3374       0          Normal    
2          3374       0          Normal    
3          3374       0          Normal    
4          3374       0          Normal    
5          3373       0          Normal    
6          3374       0          Normal    
7          3375       0          Normal    
8          3375       0          Normal    
9          3374       0          Normal    
10         3374       0          Normal    
11         3374       0          Normal    
12         3374       0          Normal    
13         3374       0          Normal    
14         3373       0          Normal    
15         3374       0          Normal    
16         3374       0          Normal    
17         3374       0          Normal    
18         3373       0          Normal    
19         3373       0          Normal    
20         3374       0          Normal    
21         3374       0          Normal    
22         3374       0          Normal    
23         3374       0          Normal    
24         3374       0          Normal    
25         3374       0          Normal    
26         3374       0          Normal    
27         3374       0          Normal    
28         3374       0          Normal    
29         3373       0          Normal    
30         3373       0          Normal    
31         3372       0          Normal    
32         3372       0          Normal    
33         3371       0          Normal    
34         3372       0          Normal    
35         3372       0          Normal    
36         3372       0          Normal    
37         3373       0          Normal    
38         3372       0          Normal    
39         3372       0          Normal    
40         3372       0          Normal    
41         3372       0          Normal    
42         3372       0          Normal    
43         3372       0          Normal    
44         3372       0          Normal    
45         3373       0          Normal    
46         3373       0          Normal    
47         3373       0          Normal    
48         3371       0          Normal    
49         3372       0          Normal    
50         3373       0          Normal    
51         3373       0          Normal    
52         3373       0          Normal    
53         3373       0          Normal    
54         3372       0          Normal    
55         3372       0          Normal    
56         3373       0          Normal    
57         3372       0          Normal    
58         3373       0          Normal    
59         3371       0          Normal    
60         3373       0          Normal    
61         3373       0          Normal    
62         3373       0          Normal    
63         3372       0          Normal    
64         3373       0          Normal    
65         3373       0          Normal    
66         3373       0          Normal    
67         3374       0          Normal    
68         3374       0          Normal    
69         3373       0          Normal    
70         3374       0          Normal    
71         3373       0          Normal    
72         3373       0          Normal    
73         3374       0          Normal    
74         3373       0          Normal    
75         3373       0          Normal    
76         3373       0          Normal    
77         3372       0          Normal    
78         3372       0          Normal    
79         3373       0          Normal    
80         3373       0          Normal    
81         3373       0          Normal    
82         3373       0          Normal    
83         3374       0          Normal    
84         3373       0          Normal    
85         3373       0          Normal    
86         3373       0          Normal    
87         3373       0          Normal    
88         3374       0          Normal    
89         3372       0          Normal    
90         3372       0          Normal    
91         3372       0          Normal    
92         3372       0          Normal    
93         3372       0          Normal    
94         3373       0          Normal    
95         3372       0          Normal    
96         3373       0          Normal    
97         3373       0          Normal    
98         3373       0          Normal    
99         3373       0          Normal    
100        3372       0          Normal    
101        3371       0          Normal    
102        3372       0          Normal    
103        3373       0          Normal    
104        3372       0          Normal    
105        3373       0          Normal    
106        3371       0          Normal    
107        3372       0          Normal    
108        3372       0          Normal    
109        3372       0          Normal    
110        3371       0          Normal    
111        3373       0          Normal    
112        3373       0          Normal    
113        3374       0          Normal    
114        3371       0          Normal    
115        3372       0          Normal    
116        3372       0          Normal    
117        3372       0          Normal    
118        3373       0          Normal    
119        3372       0          Normal    
Command completed successfully
$$
pylon>
